PCA (Distinct),PCA (Non-distinct),L1 (Distinct),L1 (Non-distinct),L2 (Distinct),L2 (Non-distinct),PCA Diff,L1 Diff,L2 Diff
0,0.0016853,0,0,0,0,0.0016853,0,0
0.0011677,0.080962,0.0014513,0.0795,0.0010026,0.00099825,0.0797943,0.0780487,-4.35E-06
0.0049788,0.14185,0.0091167,0.174,0.0069586,0.0071201,0.1368712,0.1648833,0.0001615
0.011748,0.2108,0.019232,0.26318,0.015983,0.017725,0.199052,0.243948,0.001742
0.0179,0.28042,0.031053,0.34314,0.025222,0.029893,0.26252,0.312087,0.004671
0.025984,0.34423,0.048266,0.41018,0.038787,0.047227,0.318246,0.361914,0.00844
0.036456,0.39866,0.072266,0.46426,0.057224,0.068865,0.362204,0.391994,0.011641
0.048927,0.44485,0.10084,0.50964,0.080989,0.094742,0.395923,0.4088,0.013753
0.064846,0.48384,0.13226,0.54858,0.1084,0.12337,0.418994,0.41632,0.01497
0.084656,0.51686,0.16459,0.58287,0.13713,0.15304,0.432204,0.41828,0.01591
0.10704,0.54544,0.19781,0.61318,0.16692,0.18339,0.4384,0.41537,0.01647
0.13219,0.57063,0.23208,0.64045,0.19771,0.21438,0.43844,0.40837,0.01667
0.15742,0.59355,0.26558,0.66499,0.22841,0.24506,0.43613,0.39941,0.01665
0.18372,0.61466,0.29953,0.6872,0.25864,0.27507,0.43094,0.38767,0.01643
0.2105,0.63459,0.33356,0.70773,0.28974,0.30579,0.42409,0.37417,0.01605
0.23766,0.65383,0.36728,0.72649,0.32119,0.33704,0.41617,0.35921,0.01585
0.26401,0.67247,0.40008,0.74425,0.35254,0.36786,0.40846,0.34417,0.01532
0.29062,0.69034,0.43221,0.76108,0.38295,0.39764,0.39972,0.32887,0.01469
0.31797,0.70761,0.46384,0.77704,0.41313,0.42714,0.38964,0.3132,0.01401
0.3451,0.72425,0.49395,0.79241,0.44299,0.45637,0.37915,0.29846,0.01338
0.37216,0.7405,0.52271,0.80719,0.47213,0.48503,0.36834,0.28448,0.0129
0.39879,0.75601,0.54983,0.82121,0.50026,0.51268,0.35722,0.27138,0.01242
0.42523,0.7709,0.57537,0.83456,0.52732,0.53945,0.34567,0.25919,0.01213
0.45149,0.78502,0.5996,0.847,0.55289,0.56499,0.33353,0.2474,0.0121
0.47807,0.79853,0.62248,0.85897,0.57726,0.58944,0.32046,0.23649,0.01218
0.50466,0.81152,0.64436,0.87007,0.60012,0.61245,0.30686,0.22571,0.01233
0.53137,0.82363,0.66546,0.88044,0.62225,0.6346,0.29226,0.21498,0.01235
0.55823,0.83529,0.68557,0.89015,0.64359,0.65609,0.27706,0.20458,0.0125
0.58461,0.84643,0.7047,0.89932,0.66436,0.67678,0.26182,0.19462,0.01242
0.61022,0.85733,0.72284,0.90778,0.68413,0.69615,0.24711,0.18494,0.01202
0.63568,0.86791,0.74055,0.91572,0.7032,0.71474,0.23223,0.17517,0.01154
0.65987,0.87806,0.75717,0.92307,0.72172,0.73277,0.21819,0.1659,0.01105
0.68344,0.88767,0.77295,0.92999,0.73922,0.74984,0.20423,0.15704,0.01062
0.70588,0.89685,0.78799,0.93642,0.75589,0.76615,0.19097,0.14843,0.01026
0.72733,0.90574,0.80226,0.94236,0.77173,0.78162,0.17841,0.1401,0.00989
0.74769,0.91411,0.81602,0.94773,0.78708,0.79648,0.16642,0.13171,0.0094
